article_id,topic,word_count,sentiment_score,source_credibility,num_exclamations,has_author,capital_word_ratio,share_count,label
95,Politics,324.0,-0.478,4.05,6.0,1.0,0.198,5491.0,Fake
96,Politics,208.0,0.684,,10.0,1.0,0.09,923.0,Fake
97,Technology,187.0,0.654,4.69,5.0,0.0,0.368,,Fake
98,Health,213.0,-0.01,1.4,10.0,0.0,0.153,907.0,Fake
99,Entertainment,179.0,-0.795,2.28,3.0,1.0,0.309,789.0,Fake
100,Entertainment,635.0,-0.321,5.42,2.0,1.0,0.083,42.0,Real
101,Sports,435.0,0.398,9.01,1.0,1.0,,1091.0,Real
102,Sports,521.0,,8.14,4.0,1.0,0.11,320.0,Real
103,Technology,,0.536,3.92,5.0,1.0,0.069,557.0,Fake
104,Health,353.0,0.115,2.97,4.0,0.0,,53.0,Fake
105,Science,716.0,-0.217,9.27,0.0,1.0,0.139,862.0,Real
106,Politics,277.0,-0.231,4.99,1.0,0.0,0.317,329.0,Fake
107,Health,,0.794,4.85,7.0,1.0,0.361,1329.0,Fake
108,Politics,197.0,0.442,5.46,0.0,1.0,0.209,,Real
109,Technology,354.0,0.946,0.8,4.0,0.0,,1405.0,Fake
110,Sports,530.0,0.241,10.0,1.0,0.0,0.155,1242.0,Real
111,Technology,594.0,0.492,7.38,0.0,1.0,0.041,411.0,Real
112,Health,381.0,0.012,2.54,7.0,0.0,0.323,438.0,Fake
113,Health,529.0,0.327,,2.0,0.0,0.071,244.0,Real
114,,462.0,-0.322,7.31,1.0,0.0,0.058,,Real
115,Entertainment,762.0,0.332,7.57,1.0,1.0,0.065,293.0,Real
116,Sports,330.0,0.631,2.5,8.0,0.0,0.331,5032.0,Fake
117,Entertainment,430.0,,2.79,8.0,0.0,0.219,322.0,Fake
118,Economy,528.0,-0.184,8.99,0.0,1.0,0.124,470.0,Real
119,Politics,425.0,,7.27,1.0,1.0,0.087,1389.0,Real
120,,413.0,0.497,5.69,3.0,1.0,0.096,908.0,Real
121,Sports,283.0,0.504,2.26,5.0,0.0,0.024,7157.0,Fake
122,Entertainment,149.0,-0.248,5.44,4.0,1.0,,772.0,Fake
123,Technology,642.0,-0.471,6.49,0.0,1.0,0.062,693.0,Real
124,Sports,813.0,-0.476,5.99,0.0,1.0,0.097,544.0,Real
125,Sports,540.0,-0.119,6.41,,0.0,0.161,,Real
126,Technology,406.0,-0.507,6.99,6.0,1.0,0.346,1978.0,Fake
127,Entertainment,537.0,-0.466,7.56,0.0,1.0,0.111,,Real
128,Politics,400.0,-0.441,3.36,8.0,1.0,0.184,,Fake
129,Entertainment,735.0,0.079,9.13,1.0,0.0,0.089,390.0,Real
130,Health,438.0,-0.962,1.18,5.0,0.0,0.274,,Fake
131,Entertainment,211.0,-0.403,3.85,4.0,0.0,0.264,1100.0,Fake
132,Entertainment,574.0,-0.301,6.99,0.0,1.0,0.041,255.0,Real
133,Entertainment,627.0,0.476,6.68,0.0,1.0,0.072,1011.0,Real
134,Entertainment,330.0,0.617,3.47,6.0,0.0,,235.0,Fake
135,Politics,729.0,-0.427,8.2,1.0,1.0,0.103,394.0,Real
136,Politics,300.0,0.04,2.95,7.0,0.0,0.257,376.0,Fake
137,Health,389.0,-0.445,9.11,0.0,1.0,0.011,369.0,Real
138,Science,439.0,0.419,7.67,1.0,1.0,0.093,,Real
139,Entertainment,564.0,0.417,7.12,3.0,1.0,0.159,136.0,Real
140,Politics,,-0.869,0.0,4.0,0.0,0.394,27.0,Fake
141,Entertainment,553.0,-0.085,6.71,2.0,1.0,0.089,579.0,Real
142,Sports,393.0,-0.316,4.03,2.0,1.0,0.244,322.0,Fake
143,Economy,666.0,0.41,6.2,0.0,1.0,0.085,179.0,Real
144,Politics,283.0,0.065,4.3,2.0,0.0,,,Fake
145,Economy,280.0,-0.667,4.14,4.0,0.0,0.203,173.0,Fake
146,Politics,244.0,-0.324,4.83,5.0,0.0,0.214,368.0,Fake
147,,461.0,0.313,8.21,0.0,1.0,0.015,189.0,Real
148,Entertainment,549.0,0.472,,0.0,1.0,0.024,2189.0,Real
149,,339.0,-0.524,4.99,4.0,1.0,0.242,51.0,Fake
150,Sports,556.0,-0.052,4.91,,1.0,0.17,2165.0,Real
151,Politics,665.0,0.378,5.78,0.0,1.0,0.129,1590.0,Real
152,Politics,558.0,0.788,5.45,4.0,0.0,0.238,319.0,Fake
153,Sports,401.0,-0.108,,1.0,1.0,0.072,,Real
154,Science,512.0,-0.469,0.61,5.0,0.0,0.133,,Fake
155,Sports,531.0,-0.112,7.32,1.0,1.0,0.156,646.0,Real
156,Sports,415.0,-0.046,9.65,1.0,1.0,0.0,341.0,Real
157,Economy,399.0,-0.899,4.4,6.0,0.0,0.258,152.0,Fake
158,Health,448.0,0.462,3.4,4.0,0.0,0.27,1916.0,Fake
159,Health,199.0,0.736,,7.0,0.0,0.347,1489.0,Fake
160,Entertainment,529.0,0.823,4.64,6.0,0.0,0.324,866.0,Fake
161,Entertainment,526.0,-0.489,8.66,0.0,1.0,0.076,684.0,Real
162,Entertainment,588.0,0.003,7.26,,1.0,0.161,560.0,Real
163,Entertainment,79.0,0.902,4.77,5.0,1.0,0.146,1958.0,Fake
164,Entertainment,677.0,,8.26,0.0,0.0,0.173,856.0,Real
165,Politics,469.0,-0.966,3.33,1.0,0.0,0.296,207.0,Fake
166,Politics,729.0,,6.99,0.0,1.0,0.044,494.0,Real
167,Technology,392.0,-0.161,,1.0,1.0,0.117,1128.0,Real
168,Economy,165.0,0.656,4.57,2.0,1.0,0.183,264.0,Fake
169,Entertainment,718.0,0.417,5.99,2.0,1.0,0.054,1141.0,Real
170,Politics,727.0,0.296,8.34,0.0,1.0,0.083,59.0,Real
171,Politics,492.0,0.222,5.98,0.0,1.0,0.15,152.0,Real
172,Technology,441.0,0.442,7.01,0.0,1.0,0.0,1044.0,Real
173,Technology,548.0,-0.062,6.34,0.0,0.0,0.094,105.0,Real
174,Entertainment,653.0,0.04,7.16,0.0,1.0,0.074,379.0,Real
175,Politics,510.0,0.017,3.7,1.0,0.0,0.401,,Fake
176,Health,228.0,-0.82,3.46,3.0,0.0,0.246,1668.0,Fake
177,Entertainment,,0.155,6.53,0.0,0.0,0.057,169.0,Real
178,Politics,606.0,-0.449,2.48,4.0,0.0,0.189,1208.0,Fake
179,Politics,510.0,-0.419,6.52,0.0,1.0,0.04,74.0,Real
180,Health,222.0,-0.288,2.61,5.0,0.0,0.341,351.0,Fake
181,Health,,-0.855,3.9,3.0,0.0,0.12,1913.0,Fake
182,Economy,,0.568,0.51,3.0,1.0,0.329,460.0,Fake
183,Politics,803.0,-0.133,6.53,1.0,1.0,0.095,273.0,Real
184,Health,442.0,0.084,6.93,1.0,0.0,0.126,1066.0,Real
185,Sports,182.0,,5.92,1.0,1.0,0.095,665.0,Real
186,Politics,583.0,-0.407,7.6,1.0,1.0,0.059,1186.0,Real
187,,266.0,-0.302,2.79,2.0,0.0,0.085,4479.0,Fake
188,Politics,288.0,0.973,2.33,2.0,1.0,0.316,752.0,Fake
189,Economy,332.0,-0.293,2.35,6.0,,0.259,2234.0,Fake
190,Politics,289.0,0.852,2.69,4.0,1.0,0.393,3336.0,Fake
191,Politics,709.0,0.033,8.8,0.0,1.0,0.125,163.0,Real
192,Entertainment,284.0,0.348,,2.0,1.0,0.247,1184.0,Fake
193,Sports,430.0,0.857,,3.0,0.0,0.249,260.0,Fake
194,Health,442.0,0.642,2.2,6.0,0.0,0.25,,Fake
195,Technology,185.0,0.26,2.82,4.0,0.0,0.289,2948.0,Fake
196,Sports,424.0,-0.197,,0.0,1.0,,30.0,Real
197,Technology,401.0,0.383,3.99,1.0,0.0,0.156,2263.0,Fake
198,Technology,602.0,0.183,6.55,1.0,1.0,0.109,,Real
199,Health,578.0,-0.817,2.13,5.0,0.0,0.275,1755.0,Fake
200,Health,638.0,-0.207,9.31,1.0,0.0,0.024,410.0,Real
201,Health,726.0,0.321,7.24,2.0,1.0,0.03,673.0,Real
202,Technology,598.0,0.46,7.97,0.0,1.0,0.109,963.0,Real
203,Sports,446.0,-0.298,5.42,5.0,1.0,0.274,1791.0,Fake
204,Entertainment,522.0,-0.143,6.36,0.0,1.0,0.056,380.0,Real
205,Entertainment,198.0,0.289,,0.0,0.0,0.318,2499.0,Fake
206,Economy,316.0,-0.201,0.14,9.0,0.0,0.347,3197.0,Fake
207,Economy,459.0,-0.406,6.5,1.0,1.0,0.023,1555.0,Real
208,Economy,634.0,-0.008,8.05,1.0,1.0,0.096,730.0,Real
209,Politics,256.0,0.547,0.33,4.0,0.0,0.411,1.0,Fake
210,Health,184.0,-0.375,,6.0,0.0,0.281,368.0,Fake
211,Technology,315.0,0.888,4.8,,1.0,0.245,759.0,Fake
212,Technology,840.0,-0.455,6.79,0.0,1.0,0.143,736.0,Real
213,Entertainment,392.0,0.429,3.82,5.0,0.0,0.246,372.0,Fake
214,Science,487.0,0.21,7.07,1.0,1.0,0.0,641.0,Real
215,Politics,436.0,-0.836,4.27,4.0,0.0,0.237,333.0,Fake
216,Health,400.0,0.575,2.72,4.0,1.0,,3102.0,Fake
217,,316.0,0.365,1.76,5.0,1.0,0.201,4434.0,Fake
218,Health,409.0,-0.115,3.29,4.0,1.0,0.419,947.0,Fake
219,,392.0,-0.125,4.67,6.0,1.0,0.296,647.0,Fake
220,Economy,463.0,-0.359,3.12,4.0,0.0,0.376,1031.0,Fake
221,Politics,463.0,0.066,5.28,,1.0,0.055,599.0,Real
222,Politics,532.0,-0.434,5.54,2.0,0.0,0.231,399.0,Fake
223,Politics,491.0,,6.04,0.0,1.0,0.129,1476.0,Real
224,,546.0,-0.247,6.81,1.0,1.0,0.197,658.0,Real
225,Politics,621.0,-0.016,,,1.0,0.025,832.0,Real
226,Health,,-0.372,4.38,4.0,1.0,,207.0,Fake
227,Economy,317.0,-0.053,0.82,5.0,1.0,0.198,150.0,Fake
228,Health,271.0,-0.027,,2.0,0.0,0.147,59.0,Real
229,Politics,229.0,0.371,6.27,6.0,0.0,0.291,920.0,Fake
230,Health,154.0,-0.424,3.78,5.0,0.0,0.151,1583.0,Fake
231,Politics,810.0,-0.024,7.34,2.0,1.0,0.033,957.0,Real
232,Technology,434.0,-0.146,9.56,1.0,0.0,0.018,405.0,Real
233,Technology,,0.25,0.96,3.0,1.0,0.419,,Fake
234,Health,,0.53,1.74,,0.0,0.095,147.0,Fake
235,Sports,422.0,-0.752,2.27,3.0,1.0,0.271,4210.0,Fake
236,Economy,189.0,0.485,2.02,5.0,0.0,0.088,,Fake
237,Technology,647.0,0.441,8.8,0.0,0.0,0.055,166.0,Real
238,Health,597.0,-0.268,7.22,0.0,1.0,0.186,2238.0,Real
239,Economy,397.0,-0.772,0.41,5.0,0.0,0.23,2567.0,Fake
240,Economy,702.0,-0.198,4.8,1.0,0.0,0.033,477.0,Real
241,Sports,551.0,0.169,6.99,1.0,,0.102,4106.0,Real
242,Entertainment,528.0,,8.43,0.0,1.0,0.084,56.0,Real
243,Technology,59.0,-0.351,1.52,2.0,1.0,0.38,22.0,Fake
244,Science,,-0.111,1.18,7.0,0.0,0.465,96.0,Fake
245,Health,407.0,0.256,6.37,0.0,1.0,0.024,1330.0,Real
246,Health,361.0,0.433,7.69,,1.0,0.099,1.0,Real
247,Politics,359.0,0.738,3.07,3.0,0.0,0.205,1116.0,Fake
248,Health,564.0,0.093,7.27,0.0,0.0,0.191,542.0,Real
249,Technology,215.0,0.26,4.19,3.0,0.0,0.252,3360.0,Fake
250,Politics,318.0,-0.466,6.27,1.0,0.0,0.171,0.0,Fake
251,Health,191.0,0.127,1.44,5.0,0.0,0.273,522.0,Fake
252,Health,395.0,-0.21,3.39,2.0,0.0,0.252,3027.0,Fake
253,Science,293.0,-0.193,2.67,5.0,,0.328,1556.0,Fake
254,Science,494.0,0.181,2.17,4.0,0.0,0.349,249.0,Fake
255,Politics,484.0,-0.336,5.88,0.0,1.0,0.125,1016.0,Real
256,Health,652.0,-0.115,9.26,0.0,1.0,0.078,797.0,Real
257,Sports,150.0,-0.9,4.4,7.0,1.0,0.344,183.0,Fake
258,Entertainment,441.0,0.237,2.98,6.0,1.0,0.199,310.0,Fake
259,Entertainment,152.0,-0.154,2.93,1.0,1.0,0.211,262.0,Fake
260,Economy,644.0,0.275,7.21,0.0,1.0,0.092,1339.0,Real
261,Health,404.0,-0.806,4.45,2.0,,0.354,868.0,Fake
262,Entertainment,456.0,-0.415,7.63,1.0,0.0,0.103,289.0,Real
263,Entertainment,,-0.192,3.47,3.0,1.0,0.259,1979.0,Fake
264,Politics,231.0,0.694,3.68,4.0,0.0,0.23,1356.0,Fake
265,Entertainment,479.0,0.626,2.88,5.0,0.0,0.376,0.0,Fake
266,Politics,475.0,,4.56,4.0,0.0,0.202,53.0,Fake
267,Politics,368.0,0.489,4.76,1.0,1.0,0.1,801.0,Real
268,Politics,,-0.246,5.94,1.0,0.0,0.165,712.0,Real
269,Politics,258.0,-0.663,1.43,9.0,0.0,,75.0,Fake
270,Science,50.0,0.162,2.66,4.0,1.0,,3379.0,Fake
271,Economy,289.0,-0.569,4.13,1.0,0.0,0.194,938.0,Fake
272,Health,225.0,0.593,4.56,3.0,1.0,0.182,364.0,Fake
273,Science,501.0,-0.181,8.52,,1.0,0.032,1780.0,Real
274,Politics,391.0,0.267,4.65,0.0,1.0,0.115,485.0,Real
275,Politics,346.0,-0.197,,3.0,,,1691.0,Fake
276,Technology,825.0,0.083,9.64,,1.0,0.067,587.0,Real
277,Politics,682.0,0.246,7.67,1.0,1.0,0.093,1111.0,Real
278,Health,538.0,-0.303,6.33,0.0,1.0,0.093,1008.0,Real
279,Technology,320.0,-0.482,2.51,3.0,0.0,0.214,923.0,Fake
280,Sports,392.0,-0.313,5.11,1.0,1.0,0.327,817.0,Fake
281,Sports,751.0,-0.022,,0.0,1.0,,172.0,Real
282,Science,126.0,-0.101,4.75,3.0,1.0,0.166,5712.0,Fake
283,Technology,372.0,-0.046,7.32,0.0,1.0,0.069,1677.0,Real
284,Sports,638.0,0.212,6.55,1.0,1.0,0.0,167.0,Real
285,Entertainment,254.0,0.999,2.25,2.0,0.0,0.221,62.0,Fake
286,Sports,416.0,-0.072,8.41,1.0,1.0,0.096,128.0,Real
287,Health,663.0,-0.419,8.81,0.0,1.0,0.132,2009.0,Real
288,Technology,330.0,0.216,3.66,5.0,1.0,0.277,1784.0,Fake
289,Sports,324.0,-0.475,,3.0,1.0,0.241,780.0,Fake
290,,488.0,0.018,7.35,1.0,,0.023,,Real
291,Economy,387.0,-0.071,5.09,6.0,1.0,0.238,,Fake
292,Technology,396.0,-0.15,2.75,2.0,0.0,,1835.0,Fake
293,Health,538.0,,7.24,2.0,1.0,0.192,702.0,Real
294,Politics,,0.665,0.9,1.0,0.0,0.079,2530.0,Fake
295,Health,769.0,-0.445,8.26,1.0,0.0,0.127,106.0,Real
296,Entertainment,367.0,-0.246,2.15,4.0,1.0,0.23,2331.0,Fake
297,,413.0,,7.14,2.0,1.0,0.1,403.0,Real
298,Entertainment,217.0,-0.792,3.83,5.0,1.0,0.369,419.0,Fake
299,Health,186.0,0.61,4.33,4.0,0.0,0.108,1007.0,Fake
300,Sports,447.0,0.882,0.7,3.0,0.0,0.187,471.0,Fake
301,Health,392.0,0.224,0.67,7.0,0.0,0.149,660.0,Fake
302,Science,356.0,0.533,6.42,3.0,0.0,0.167,,Fake
303,Health,,0.79,2.09,5.0,0.0,0.372,764.0,Fake
304,Economy,671.0,0.167,7.15,2.0,1.0,0.062,70.0,Real
305,Health,366.0,,5.76,4.0,1.0,0.149,185.0,Fake
306,Politics,219.0,-0.075,4.39,5.0,1.0,0.069,681.0,Fake
307,Science,311.0,0.292,3.21,6.0,0.0,0.285,1052.0,Fake
308,Health,540.0,0.116,8.6,1.0,,0.11,332.0,Real
309,Entertainment,202.0,,,1.0,0.0,0.399,1850.0,Fake
310,Politics,,0.896,3.92,4.0,1.0,0.328,1420.0,Fake
311,Science,242.0,0.467,5.72,,0.0,0.314,850.0,Fake
312,Politics,630.0,0.23,7.15,1.0,1.0,0.036,812.0,Real
313,Economy,451.0,0.013,7.19,1.0,1.0,0.092,313.0,Real
314,Politics,635.0,-0.288,6.64,2.0,1.0,0.032,1640.0,Real
315,Health,495.0,0.072,7.79,0.0,,0.061,1533.0,Real
316,Technology,633.0,-0.071,5.27,1.0,1.0,0.032,709.0,Real
317,Entertainment,437.0,0.527,4.01,2.0,0.0,0.321,1475.0,Fake
318,Entertainment,,0.753,2.19,5.0,1.0,0.303,493.0,Fake
319,Health,392.0,0.735,2.77,,0.0,0.254,,Fake
320,Politics,617.0,,7.28,,1.0,0.066,315.0,Real
321,,470.0,0.636,3.42,3.0,0.0,0.225,3308.0,Fake
322,Politics,762.0,-0.219,6.87,0.0,1.0,0.023,2310.0,Real
323,Sports,400.0,-0.85,3.76,5.0,,0.143,180.0,Fake
324,Politics,334.0,,5.02,6.0,,0.232,258.0,Fake
325,Sports,,0.598,5.58,4.0,1.0,0.144,1250.0,Fake
326,Health,,0.424,6.13,2.0,1.0,0.112,1414.0,Real
327,Politics,276.0,-0.193,4.19,4.0,0.0,0.242,638.0,Fake
328,Technology,329.0,-0.866,6.55,1.0,1.0,0.307,1116.0,Fake
329,Entertainment,244.0,0.312,2.2,3.0,0.0,0.269,1747.0,Fake
330,Sports,320.0,-0.694,,7.0,1.0,0.194,2203.0,Fake
331,Technology,618.0,-0.32,5.06,1.0,1.0,0.194,1696.0,Real
332,Health,247.0,0.048,4.71,3.0,0.0,0.275,575.0,Fake
333,Health,294.0,0.129,2.9,5.0,1.0,0.185,,Fake
334,Science,828.0,0.006,6.63,0.0,0.0,0.122,115.0,Real
335,Sports,536.0,0.439,7.29,1.0,1.0,0.134,756.0,Real
336,Health,757.0,0.118,6.83,1.0,1.0,0.097,322.0,Real
337,Entertainment,284.0,0.332,,4.0,1.0,0.276,2506.0,Fake
338,Health,306.0,0.281,5.42,4.0,1.0,0.191,6685.0,Fake
339,Sports,300.0,0.809,,6.0,0.0,0.286,191.0,Fake
340,Health,425.0,0.173,6.86,0.0,0.0,0.08,1303.0,Real
341,Health,493.0,-0.984,,3.0,1.0,0.362,29.0,Fake
342,Entertainment,261.0,0.664,3.18,5.0,0.0,0.104,3285.0,Fake
343,Politics,352.0,-0.286,5.04,3.0,0.0,,493.0,Fake
344,Entertainment,327.0,0.854,3.44,3.0,0.0,0.328,61.0,Fake
345,Entertainment,249.0,,3.46,5.0,0.0,,1296.0,Fake
346,Science,551.0,,6.7,0.0,0.0,,83.0,Real
347,Entertainment,591.0,0.478,6.43,0.0,,0.211,645.0,Real
348,Entertainment,849.0,0.121,9.3,0.0,1.0,0.044,34.0,Real
349,Technology,468.0,0.829,3.42,4.0,0.0,0.195,423.0,Fake
350,Entertainment,583.0,-0.332,8.62,0.0,1.0,0.05,1655.0,Real
351,Science,570.0,-0.103,6.17,1.0,0.0,0.106,364.0,Real
352,Politics,151.0,0.955,0.32,3.0,1.0,0.293,999.0,Fake
353,Economy,246.0,-0.846,2.32,4.0,0.0,0.318,780.0,Fake
354,,293.0,0.553,3.27,4.0,0.0,0.256,357.0,Fake
355,Politics,926.0,0.383,9.59,1.0,1.0,0.165,612.0,Real
356,Politics,,,3.18,2.0,1.0,0.335,2349.0,Fake
357,Technology,288.0,-0.161,0.0,5.0,0.0,0.149,1517.0,Fake
358,Technology,214.0,0.124,4.32,4.0,1.0,0.199,656.0,Fake
359,Technology,570.0,-0.289,,2.0,1.0,0.036,263.0,Real
360,Technology,106.0,-0.442,2.94,2.0,0.0,0.244,382.0,Fake
361,,452.0,-0.036,8.25,0.0,1.0,0.065,274.0,Real
362,Science,511.0,0.037,5.79,1.0,0.0,0.074,324.0,Real
363,Health,498.0,0.199,6.59,1.0,1.0,0.128,1207.0,Real
364,,261.0,-0.472,,8.0,1.0,0.085,1139.0,Fake
365,Politics,361.0,-0.988,3.46,4.0,0.0,0.299,428.0,Fake
366,Entertainment,459.0,0.241,,1.0,1.0,,1371.0,Real
367,Health,581.0,0.297,9.22,0.0,,0.065,972.0,Real
368,Technology,429.0,0.894,1.98,7.0,1.0,,1116.0,Fake
369,Science,255.0,,4.19,3.0,1.0,0.162,1017.0,Fake
370,Technology,143.0,-0.516,3.27,4.0,0.0,0.372,477.0,Fake
371,Technology,294.0,0.54,3.21,4.0,0.0,0.195,144.0,Fake
372,Health,374.0,,3.13,3.0,1.0,0.162,1708.0,Fake
373,Entertainment,528.0,-0.195,10.0,0.0,0.0,0.168,407.0,Real
374,Entertainment,688.0,-0.454,7.92,0.0,0.0,0.114,162.0,Real
375,Health,620.0,-0.095,8.14,2.0,1.0,0.1,80.0,Real
376,Health,,0.291,6.67,3.0,1.0,0.0,538.0,Real
